02:00 PM,02:30 PM,0,Keynote,,Session,['All'],[],[],[],[]
02:35 PM,03:35 PM,3,"Beyond Imagination:  The Secret to Designing Beautiful, Creative Custom Visuals","Charts can feel like a pair of shoes. You always have your go-to favs! But are they the best fit for your data goals? Learn the secrets of turning big data to accurate, compelling visuals that go beyond basic charts. Join us as we step through our creative design process and unravel COVID-19 data to reveal its effect on our communities. Design an intriguing and impactful visual to tell your story!",Session,"['Data Science', 'Beginner']","['HoakAmber', 'LytvynetsKate', 'TittsworthDavid']","['Microsoft Research', 'Microsoft Research', 'Microsoft Research']","['Software Development Engineer', 'Software Development Engineer', 'Senior Software Development Engineer']","['Amber Hoak is a Hispanic, first-generation college graduate receiving her masterís degree in software engineering (2017) and bachelorís in math (2013). She served in the military for four years as a software engineer prior to working at Microsoft Research. Her current work focuses on data management, analysis, and visualization. She creates custom interfaces to show the intersection between artificial intelligence and business intelligence. Along with independent research, she works closely with other internal product groups such as Bing to improve data visualization capabilities. She is a member of the Data Visualization Society and received an award for her work, îCommunities within Communitiesî. She is an active technical speaker on data visualization in the Seattle area and her next adventure is giving a talk at the upcoming CascadiaJS JavaScript Conference 2020.', 'Kate Lytvynets is a self-taught engineer and mother of two children. She immigrated to the United States from Ukraine where she was previously a corporate lawyer and entrepreneur for ten years. She currently works as a software engineer at Microsoft Research working within the Special Projects group. She works on big-scale data science applications, graph analytics, and information visualization.  She applies machine learning algorithms to large data sets to discover trends and identify patterns of behavior as well as creates custom visualizations that help to communicate the results of research to users. Her work in both data science and front-end development allows her to better tell a story with data and know possibilities that charting libraries offer. She presented at GHC2019 on the workshop ""Designing Data Visuals that Sparkle: Developing Insight You can See"" for two 400 person sessions.', 'David Tittsworth is a model male ally and uses his 10+ years of engineering experience to help improve skills sets of junior engineers with diverse backgrounds within Microsoft Research. His support and mentorship have made impactful contributions on last yearís GHC presentation and dedicated over 100 hours to ensure the teamís success. In his current role at Microsoft Research, he works closely with data scientists to develop novel interfaces to model neural networks and complex algorithms, along with bettering visualization capabilities within Power BI. He has created several Power BI visualizations that are currently in use by thousands of customers and have been released on GitHub. Through his open-source efforts, he works to make data visualization more accessible to a broader audience.']"
02:35 PM,03:35 PM,5,"Seeing Beyond Yourself: Effective Allyship, Advocacy, and Activism for Women in Computing","It is often assumed that women in CS understand and appreciate diversity and advocate for all. However, there exist highly publicized examples of women failing to account for the intersection of race and gender and the differing experiences of women with intersecting identities. This panel convenes diverse women in CS to discuss the importance of same-gender allyship, advocacy, and activism.",Session,"['Entrepreneurship', 'All']","['PaytonFay Cobb', 'McAlearFrieda', 'WashingtonAlicia Nicki', 'DiazLien', 'ChapmanGail']","['North Carolina State University (NCSU)', 'Kapor Center for Social Impact', 'Duke University', 'Constellations Center for Equity in Computing, Georgia Tech', 'Exploring Computer Science']","['Professor and University Faculty Scholar', 'Senior Research Associate', 'Professor of the Practice, Computer Science', 'Director, Ed Innovation and Leadership', 'Director of Outreach']","[""Dr. Fay Cobb Payton is a Program Director at the National Science Foundation (NSF) in the Division of Computer and Network Systems.  In her role at the NSF, she works with leaders on programs involving Smart and Connected Health, Computer Science in Undergraduate/Graduate Education, Excellence-In-Research, INCLUDES and other agency programs.  She is also a Full Professor (with Tenure) of Information Technology/Systems at North Carolina State University and a named University Faculty Scholar for her leadership in turning research into solutions to society's most pressing issues. Her research interests include healthcare IT/disparities; data management/science; and bias in AI/information seeking/HCI.  She worked in industry as a programmer, consultant and software engineer prior joining the academy.   Her research has been highlighted in Fortune, Essence, Black Enterprise, Diversity in Action and Thrive Global. She is the author of Leveraging Intersectionality: Seeing and Not Seeing and has numerous peer-reviewed conference and journal publications."", 'Frieda McAlear, (Inupiaq) MRes, is the Senior Research Associate at the Kapor Center, where she brings her skills as a social science researcher and her passion for working with and for marginalized and underrepresented communities, at the Kapor Center. In 2018, Frieda co-founded the Women of Color in Computing Collaborative (WOCCC) and in 2019 she became a lead Principal Investigator in the Expanding Computer Science for Native American Girls project, a partnership between the WOCCC and the American Indian Science and Engineering Society (AISES).', ""Dr. Nicki Washington is a professor of the practice of computer science at Duke University and the author of Unapologetically Dope: Lessons for Black Women and Girls on Surviving and Thriving in the Tech Field. Her professional experience includes Winthrop University, Howard University, The Aerospace Corporation, and IBM. She was a lead writer for the K-12 CS Framework (led by Code.org) and South Carolina K-12 Computer Science and Digital Literacy Standards. At the undergraduate and industry levels, her efforts to recruit and retain Black students/graduates in computing include creating and implementing the first Googler-in-Residence program at Howard University in 2013. This project led to implementations of Googlers-in-Residence at other HBCUs (including Morehouse, Spelman, NC A&T, Fisk, and Hampton). She is a graduate of Johnson C. Smith University (B.S., ë00) and North Carolina State University (M.S., í02; Ph.D., í05), becoming the university's first Black female CS Ph.D."", 'Lien Diaz is the Director of Educational Innovation and Leadership of the Constellations Center for Equity in Computing at Georgia Tech, where she builds teaching and leadership capacity to expand access to computing education. She elevates the importance of increasing student engagement in rigorous computing courses and streamlining opportunities into post-secondary computing, STEM, and tech. Her work is motivated by challenging the status quo to change perspectives on American education and policy and make transparent the issues that must be addressed to obtain equity in school systems across the nation. She firmly believes that equity must be at the heart of collaborative efforts to overcome socio-economic barriers and issues of race, gender, and identity that persist in education and national policy. She is one of the primary architects of the AP Computer Science Principles Curriculum Framework and a leading national expert in educational diversity, equity, and inclusion.', 'Gail Chapman is the Director of Outreach for Exploring CS (ECS). Throughout her career, she has focused on equitable education for all students and the impact that teachers and teaching can have on ensuring this. With ECS, Gail works with partner districts on strategic planning related to the implementation of ECS, including professional development (PD), leadership development, and sustainability. She is co-designer of the ECS curriculum and professional development model and leads ECS PD Facilitator development. Prior to joining the ECS team in 2008, she held a variety of positions within the field of education, including high-school mathematics and computer science teacher, Educational Testing Service, and The College Board. She is also the recipient of the 2017 ACM Special Interest Group in CS Education (SIGCSE) award for Outstanding Contribution to Computer Science Education.']"
02:35 PM,03:05 PM,1,Hack Your Way to a Higher Performing Team,"Many organizations want high performing teams yet have vague ideas as to what that actually means. Learn some defining characteristics of high performing teams: caring, collaborating, communicating, and taking ownership.  Walk away with actionable hacks such as ""Did you ask?"" and ""Because Science!"" that can be used in any team and with any framework to maximize team effectiveness.",Session,"['Software Engineering', 'Beginner']",['RichAnn'],['USAA'],['Agile Coach'],"['Ann Rich lived through some awful teams and survived to tell the tale - and help you avoid the same fate. Ann is a Lean-Agile Coach at USAA serving 30+ product development teams enabling private cloud capabilities for internal software development. With over 15 years of experience with focus in the ""last mile"" of software development, Ann has been a catalyst for cultivating high performing teams, optimizing for business results, and empowering change agents across USAA. She is a frequent speaker internal to USAA and in the San Antonio community. As a mom of sons with autism, she has learned to look at the world sideways and be open to all sorts of perspectives.']"
02:35 PM,03:05 PM,1,"Lessons Learned in Founding A Meaningful, Thriving Business - So You Can Build Yours Faster","Only three women have founded public infrastructure companies worth $1B+. One being Michelle Zatlyn, who co-founded Cloudflare during the last US economic downturn and transformed it into a leading Internet company. She'll share her perspective and lessons learned in creating a diverse workforce and navigating times of crisis while building a thriving companyóso you can build yours faster.",Session,"['Entrepreneurship', 'Intermediate']",['ZatlynMichelle'],['Cloudflare'],['Co-founder & COO'],"[""Michelle Zatlyn is co-founder and COO of Cloudflare, a leading Internet security, performance, and reliability company running one of the world's largest networks. Michelle is one of only three women that have founded a public infrastructure company worth more than $1B, and is the only female leader still running one. Sheís been leading operations since day oneóthis includes founding Cloudflare during the last US economic downturn.Michelle met co-founder Matthew Prince while they were students at Harvard Business School and created Cloudflare after winning the business plan competition. Before Cloudflare, Michelle held positions at Google and Toshiba and launched two successful startups. She holds a BS degree with distinction from McGill University and an MBA from Harvard Business School where she was awarded the Dubilier Prize for Entrepreneurship. Michelle has been named a Young Global Leader by the World Economic Forum and one of the Top 15 Women to Watch in Tech by Inc. Magazine.""]"
02:35 PM,03:05 PM,1,Leading Remotely in Retail Technology in the Face of Unprecedented Adversity,Covid-19's impact is unprecedented. This talk will shed light on the unique challenges retail technology faces and the rapidly changing business priorities under these circumstances. These challenges required teams to find new ways to lead remotely and increase their agility while still contributing to critical business outcomes.,Session,"['Career', 'All/Senior Career']",['ChenJoyce Chia-Hsun'],['Nordstrom'],['Sr Director of Engineering'],"['Joyce has worked in the software industry for more than 25 years and has extensive experience building software and leading teams through change. She joined Nordstrom in 2018, spearheading its digital transformation and shifting its engineering culture. Prior to Nordstrom, Joyce spent 18 years at Microsoft where she led teams building box product software and cloud services, all while transforming them to a dev-ops model.Joyce is passionate about technology and diversity, inclusion and belonging (DIB). She champions the DIB effort within Nordstrom, where she is a key driver for the Nordstrom Women In Tech and Nordstrom Grace Hopper planning committees. She was a panelist for various panels including the Ignite Girl and WiT Regatta events. Similarly, at Microsoft, Joyce was a key driver for the Microsoft Women community and Diversity and Inclusion Day.Joyce lives in Bellevue, WA with her husband and daughter. During her spare time, she loves to paint, practice yoga and travel.']"
02:35 PM,03:35 PM,5,"What You Need to Know About Quantum Computing for Scientists, Engineers, and Developers",Many recent advances in the field of quantum computing have captured popular interest in the field. Quantum systems are also now more accessible than ever with devices hosted on the cloud and numerous quantum software packages under development. So how can you get involved in quantum computing now? What are the current hot topics and what are the roadblocks? Quantum experts will discuss!,Session,"['Tech for Women', 'Beginner']","['SheldonSarah', 'TimmermanKate', 'WhaleyK.', 'MarchenkovaAnastasia', 'EconomouSophia']","['IBM', 'University of Chicago', 'University of California, Berkeley', 'Bleximo', 'Virginia Tech']","['Research Staff Member, Manager', 'Executive Director', 'Professor of Chemistry Director, Berkeley Quantum Information and Computation Center', 'Quantum Researcher', 'Associate Professor']","['Sarah Sheldon currently leads the Quantum Performance and Metrics group at IBM Quantum.  She studied quantum control techniques for her PhD, which she received in 2013 from MIT.  She joined IBM in 2013 and has held postions as a research staff member and manager. Her research focuses on improving the physical operations that are the building blocks of quantum algorithms and developing techniques for characterizing quantum devices. She previously co-led the workshop ìHow to Program a Quantum Computerî at GHC19.', 'Kate Timmerman is the executive director of the Chicago Quantum Exchange, a catalyst for advancing academic and industrial efforts in the science and engineering of quantum information. The Exchange is a collaboration between the University of Chicago, Argonne National Laboratory, Fermi National Accelerator Laboratory, the University of Illinois at Urbana-Champaign, the University of Wisconsin-Madison and Northwestern University and industry partners. With the Exchange, Kate fosters emerging research partnerships between academia, national labs, and industry. Kate is currently a board member for P33, the private sector initiative to promote Chicagoís standing as a technology center and ARCS Illinois, which supports Illinois graduate scholars by providing financial awards in science, engineering and medical research. Kate received her Ph.D. in neuroscience from the University of California, Davis and her bachelorís degree from Oberlin College.', ""K. Birgitta Whaley is Professor of Chemical Physics at the University of California, Berkeley and co-Director of the Berkeley Quantum Information and Computation Center. Whaley holds a Ph.D. from the University of Chicago and was a Postdoctoral Fellow at Hebrew University Jerusalem and Tel Aviv University.  Whaley's research lies at the interface between quantum physics and chemistry and biology. Her work is broadly focused on quantum information and quantum computation, quantum control and simulation of complex quantum systems, quantum effects in biological systems.  Prof. Whaley is a member of the American Academy of Arts and Sciences, and of the International Academy of Molecular Quantum Science.  She is a Fellow of the American Physical Society, as well as recipient of awards from Bergmann, Sloan, and Alexander von Humboldt Foundations, and senior Fellowships at the Miller Institute (Berkeley) and the Institute for Advanced Studies in Berlin."", ""Anastasia Marchenkova has been a quantum researcher at the Georgia Tech quantum optics and quantum telecommunications lab, a research member of the University of Maryland Joint Quantum Institute, founder of CourseShark, early team member and quantum engineer at Rigetti Quantum Computing, and is currently working on superconducting qubit quantum processors at Bleximo. Marchenkova has a blog and YouTube channel demystifying quantum computing with the goal to get more scientists and engineers into quantum computing research. She also got 2nd place in IBM's Europe Qiskit Camp (a quantum hackathon competition) for work in improving performance of Qiskit, and 1st place in IBM's Asia Qiskit Camp for designing a pulse level programming language for quantum computing."", 'Sophia Economou is a Professor of Physics and the Hassinger Senior Fellow of Physics at Virginia Tech. She received her Ph.D. in Physics from the University of California, San Diego in 2006, after which she was a National Research Fellow at the Naval Research Lab, where she eventually held a Research Physicist staff position until 2015. Her present research interests are in quantum information science, and specifically quantum computing, communication and simulation. She has given over 70 talks at conferences, universities and research institutions worldwide. She has also co-created an outreach program in quantum information science for high school students.']"
02:35 PM,03:05 PM,2,Building an AI Supercomputer: How We Did it!,"Enormous compute power is required to solve many problems with AI. Today’s compute capacity is throttling the advancement of AI and is unsustainable without pushing the limits for new AI compute. We will share the design and implementation of an AI supercomputer that will power AI research into a new level of complex problem solving, enabling a journey towards 1000x improvements in AI compute.",Session,"['Computer Systems Engineering', 'Intermediate']","['El MaghraouiKaoutar', 'HergerLorraine']","['IBM', 'IBM']","['Principal Research Scientist', 'Director']","['Dr. Kaoutar El Maghraoui is a principal research scientist\r\nat IBM T.J. Watson Research Center focusing on\r\ninnovation at the intersection of systems and AI. She\r\nleads the research agenda of the experimental testbed of\r\nthe AI Hardware Center, a global research hub focusing\r\non enabling next-generation systems for AI.\r\nKaoutar has extensive experience and expertise in HPC,\r\nsystems software, Cloud computing and machine\r\nlearning. She co-led IBM’s Global Technology Outlook in\r\n2017 where she contributed to creating IBM’s vision for\r\nthe future of IT across global labs and business units\r\nfocusing on IBM’s AI leadership.\r\nKaoutar received the Robert McNaughton Award for best\r\nthesis in CS, IBM’s Eminence and Excellence award for\r\nleadership in increasing Women’s presence in STEM, and\r\n2 IBM outstanding technical accomplishments. Kaoutar is\r\nthe co-chair of the Arab Women in Computing\r\norganization and avid supporter of several women in\r\nscience and technology initiatives.', 'Lorraine Herger is the Director of the IBM Research AI\r\nHardware Center Infrastructure, focused on delivering\r\ninnovative AI solutions to IBM and its customers.\r\nPreviously, Lorraine led the Research Integrated\r\nSolutions team, a worldwide organization with 12\r\nlocations. Lorraine is a Master Inventor, with over 70\r\npatents, 25 publications and a Senior Technical Staff\r\nMember. Lorraine received the 2017 and 2018 CIO 100\r\naward for innovative use of technology to drive business\r\nfor IBM Research. In 2019 Lorraine received the IEEE\r\nWomen in Services Computing Award. Lorraine is the\r\ncurrent treasurer, and past-president of the New York\r\nsection of the Society of Women Engineers.']"
03:05 PM,03:35 PM,0,Systers Networking,,Session,['All'],[],[],[],[]
03:05 PM,03:35 PM,1,How to Evaluate Startup Ideas?,"Curious about starting a company but haven't settled on an idea yet? Holly Liu, Co-Founder of Kabam, will walk you through a framework for thinking about and evaluating startup ideas. Holly will talk about her experience as a founder and her perspective on when it is time to turn an idea into a company.",Session,"['Entrepreneurship', 'Beginner']",['LiuHolly'],[''],[''],['']
