10:00 AM,11:00 AM,0,Liquid Metal Yoga,,Session,['All'],[],[],[],[]
12:00 PM,12:30 PM,0,Keynote,,Session,['All'],[],[],[],[]
12:40 PM,01:10 PM,0,A Better Bottom Line: Careers in Public Service,"Ever feel you're missing a chance to have a greater impact in your 9 to 5? Join us for a conversation between those who took the leap from the private sector to working in government and public service. Speakers will discuss how they made the change and they purpose they found working towards a different, mission-driven bottom line.",Session,['All'],[],[],[],[]
12:40 PM,01:10 PM,0,The Memo with Minda Harts,"Don't miss this fireside chat between AnitaB.org CEO Brenda Darden Wilkerson and Minda Harts, CEO of The Memo LLC, a career development platform for women of color. Together they will be discussing strategies for managing diverse talent, advancing women in the workplace, and leadership development. Join us for a conversation about strategies to empower your own career while lifting others in the process.",Session,['All'],[],[],[],[]
12:40 PM,01:10 PM,0,Reflections on Six Years of BRAID Research,"BRAID is a national initiative to increase the representation of women and URM students in undergraduate computing. This session will focus on what the BRAID Research team has learned, sharing the latest results and discussing implications of findings for computing departments. Findings related to the progress BRAID schools have made in diversifying computing majors will be shared.",Session,['All'],[],[],[],[]
12:40 PM,01:40 PM,3,Do You See What I See: Using AR and AI,"Welcome to the world of augmented reality and artificial intelligence! This workshop explains AR and AI via hands-on exercises where you build a game to interact with your augmented world. You will learn about the novel applications of AR+AI, their limitations and social impacts amplified by COVID-19. You'll leave armed with code, inspiration and an ethical framework for your own projects!",Session,"['Virtual, Augmented, and Mixed Reality', 'Beginner']","['KarulkarShruti', 'Walker-HannonLouvere', 'MohamedSarah']","['MathWorks', 'MathWorks', 'MathWorks']","['MATLAB Hardware Quality Engineering Manager', 'Senior Application Engineer', 'Statistics and Machine Learning Software Engineer']","[""Shruti&#8239;Karulkar&#8239;is the Quality Engineering Manager for Test & Measurement and MATLAB Mobile at MathWorks. Shruti's team of highly creative engineers work to&#8239;design and implement cutting-edge tools to qualify MATLAB and Simulink support for hardware ranging from simple - Arduino/Raspberry Pi to high-end RF Signal Generators.&#8239;Shruti has a long history of serving as a STEM mentor and is a STEM Ambassador for MathWorks. Shruti has&#8239;helped teach&#8239;maker classes Fun with Arduino and Fun with Raspberry Pi to hundreds of attendees. She led a team to win the first prize in a Hack Day organized at MathWorks, for a project involving the gamification of pose detection. Shruti was a speaker at both GHC18 and GHC19 delivering successful and popular hands-on AI workshops. She was also a part of the team that delivered these workshops to over 150 participants at WECode 2019 and 2020, the largest student-run Women in Computer Science conference in the US."", 'Louvere Walker-Hannon is a MathWorks Senior Application Engineer, who provides direction and recommendations on technical workflows for various applications. Specifically, she assists with the following topics image processing, computer vision, machine learning, deep learning, geospatial analysis, and data analytics when discussing technical workflows. Louvere has worked in three different engineering roles throughout her 20 year career while at MathWorks.  Louvere is a member of the Society of Women Engineers (SWE) and other professional organizations. Louvere volunteers with Black Girls Code and the Society of Women Engineers. She is a Curriculum Lead for the Boston Chapter of Black Girls CODE and a Co-Lead of the SWE Latinos Affinity Group. She has a bachelorís degree in Biomedical Engineering and a masterís degree in Geographic Information Technology with a specialization in Remote Sensing.  Louvere continues to present at several STEM related conferences on various topics.', ""Sarah Mohamed is a Software Engineer at MathWorks working on deep learning interoperability. She develops tools that allow AI models to be exchanged and deployed among frameworks such as MATLAB, Pytorch, TensorFlow, and ONNX. In the past, she has also worked as an Application Support Engineer, where she interacted directly with customers to resolve issues in their real-world applications. Sarah delivered the Deep Learning and IoT workshop in 2019 at TechTogether, Boston's largest student-led hackathon for women and non-binary students, and was a speaker for the Pocket AI and IoT workshop at GHC19. She obtained her M.Sc. in Computational Science and Engineering from Harvard University, and holds dual Bachelorís degrees in Computer Science and Biology from the University of Virginia.""]"
12:40 PM,01:10 PM,0,Featured Session,,Session,['All'],[],[],[],[]
12:40 PM,01:40 PM,2,"Welcome to Open Source, Women!","With jobs lost from COVID-19, it can be hard to learn new skills and build out a portfolio. Open source provides opportunities for both, and you can even get paid by a GitHub sponsor. Learn (1) how easy it is to contribute to open source, and (2) the first steps to get started on making your first contribution. By doing so, you are increasing the 6% of women in the Open Source community!",Session,"['Open Source', 'Beginner']","['MonteiroSamantha', 'LevyKatie']","['Intuit', 'Intuit']","['Software Engineer I', 'Senior Software Engineer']","['Samantha Monteiro works at Intuit as a full-stack software engineer on the Tax Content team, which is responsible for tax law implementation in products like TurboTax and Quickbooks. Monteiro works on ProConnect, a product that connects tax and accounting professionals with essential resources to better support their clients. Previously, she worked on Intuit Information Security developing an intel search for data analysts to hunt hackers. She began her career at Intuit as an intern while still getting her bachelorís degree in Computer Science in Brazil where she was born and raised. Samantha is passionate about tech communities and helping women in STEM to succeed in tech. She is the co-organizer of Women of SDJS where she teaches tech topics about JavaScript and Open Source. She has been helping the San Diego community by mentoring students from local schools as well through recruiting events.You can find her on Twitter @samanthakem_ and LinkedIn at linkedin.com/in/samanthakem', 'Katie Levy is a Senior Software Engineer at Intuit, working on the back-end services and the platform for TurboTax. Previously, she worked on Intuitís mobile team developing the TurboTax and TaxCaster Android applications. As the first female engineer at Intuit to open source a project, Katie is the owner and maintainer an open source Android UI library, Truffle Shuffle. Originally from Seattle, she made her way to California and graduated from the University of San Diego, majoring in Computer Science before joining Intuit. Katie has spoken at technical conferences around the world and hopes to inspire other women to pursue careers in tech. As a member of the Tech Women at Intuit core team, Katie is helping to close the gender gap and contribute back to the community through mentoring at local schools, continued involvement with recruiting, presenting to peers, and taking risks.You can find her on Twitter @klevy110, LinkedIn at linkedin.com/in/katielevy1, or www.katielevy.com']"
12:40 PM,01:10 PM,1,It Takes Tech to Tango: An Introduction to DanceTech,"<div class=""ag87-crtemvc-hsbk""><div class=css-zuif4x><p class=""carina-rte-public-DraftStyleDefault-block""><span style=""color: rgb(0,0,0);"">It starts like a bad joke: a dancer and an engineer walk into a room. But what emerges isn’t a punchline–it’s a powerful culture shift at the intersection of art, technology, and innovation. This talk examines and analyzes historical and emerging tech trends in the performing arts, with an emphasis on dance applications (“dancetech”). All are welcome, even those with two left feet!</span></p></div></div>",Session,"['Interactive Media', '#N/A']",['PrabakaranSwetha'],"['University of California, Berkeley']",['Student / Dancer & Choreographer'],"['Swetha Prabakaran is a professional dancer, choreographer, model, and actress who debuted professionally at age 15. She currently studies Computer Science and Dance & Performance Studies at UC Berkeley as a Regentsí & Chancellorís Scholar.Alongside the arts, Swetha is a talented technologist who has worked with leading tech companies. Most recently, she worked with Microsoft Threat Intelligence Center (MSTIC), resulting in publication in the MITRE ATT&CK framework. In addition to her technical work, Swetha directed and choreographed a musical short film called Microsoft: the Musical, which attracted global press attention.An ardent CS education advocate, Swetha founded a nonprofit called Everybody Code Now! when she was 15; her work has earned recognition from US President Barack Obama and Indian Prime Minister Narendra Modi, amongst others. Swetha is passionate about building bridges between tech and the arts and hopes to elevate underrepresented voices through her work.']"
12:40 PM,01:10 PM,1,"To Succeed Faster, Get Comfortable With Risk","The more risks you successfully navigate, the more confident you will become, and the more risks you will be willing to take. It's a virtuous cycle. Learn how to get comfortable with more risk in your work to accelerate your opportunities and fuel your advancement. These skills can also help you face your personal prejudices and fight for justice for all people.",Session,"['Career', 'Mid-Career']",['CardwellAimee'],['Optum Financial Services'],['Chief Information Officer'],"['Aimee serves as Chief Information Officer of Optum Financial Services, a part of UnitedHealth Group, a Fortune 6 company. She regularly speaks on topics of interest to women in technology and diversity and inclusion.Aimee has more than 25 years of experience in the strategy, design and production of globally known technology applications with a focus on mobile, e-commerce, banking and finance. She has a proven track-record as an inspirational leader who delivers strong results in customer experience, platform strategy, mobile, e-commerce and usability. Most recently, Aimee led Consumer Product Development Engineering at American Express. Prior to American Express, she held leadership roles at eBay, Expedia, Netscape and several other digital organizations.']"
